ticker,date,open,high,low,close,adj_close,volume,avg_sentiment,next_close,target,daily_return,ma_5,ma_10
AAPL,2023-01-17,132.70195234994011,135.12311725700644,132.01300359662682,133.79443359375,133.79443359375,63646600,0.342334,133.07598876953125,0,0.008756315978389884,131.55634155273438,128.39602432250976
AAPL,2023-01-18,134.6605787592018,136.42232060237055,132.8988218980733,133.07598876953125,133.07598876953125,69672800,-0.010855333333333337,133.13502502441406,1,-0.005369766177270252,132.43820495605468,129.3940216064453
AAPL,2023-01-19,131.96380450388668,134.09955338686564,131.65869966602656,133.13502502441406,133.13502502441406,58280400,-0.038846666666666675,135.69398498535156,1,0.00044362815131937516,132.78858032226563,130.27095794677734
AAPL,2023-01-20,133.14486670992753,135.84162653742413,132.1015991542997,135.69398498535156,135.69398498535156,80223600,0.0,138.88287353515625,1,0.01922078702030694,133.66649780273437,131.53567504882812
AAPL,2023-01-23,135.94005904305521,141.0579999020067,135.72353008280908,138.88287353515625,138.88287353515625,81760300,0.297545,140.2804412841797,1,0.023500588844442394,134.9164611816406,132.66654357910156
AAPL,2023-01-24,138.0954784443646,140.90050277108796,138.08564168128757,140.2804412841797,140.2804412841797,66435100,0.3122875,139.62103271484375,0,0.010062923623693987,136.21366271972656,133.88500213623047
AAPL,2023-01-25,138.6663409653264,140.18202862963406,136.61916767862735,139.62103271484375,139.62103271484375,65799300,-0.05176633333333334,141.6879119873047,1,-0.004700645102763135,137.52267150878907,134.98043823242188
AAPL,2023-01-26,140.91037200424128,141.97332836189656,139.6604119793185,141.6879119873047,141.6879119873047,54105100,-0.051092,143.6267547607422,1,0.014803495091475494,139.23324890136718,136.01091461181642
AAPL,2023-01-27,140.90048495518886,144.90623964304373,140.82174580665185,143.6267547607422,143.6267547607422,70555800,0.007024,140.74302673339844,0,0.01368389685643212,140.8198028564453,137.24315032958984
AAPL,2023-01-30,142.67209860282117,143.2527830109075,140.59540019505755,140.74302673339844,140.74302673339844,64015300,0.12033433333333332,142.01266479492188,1,-0.02007793069019459,141.19183349609375,138.05414733886718
AAPL,2023-01-31,140.4477633640219,142.06187864867766,140.03439402480078,142.01266479492188,142.01266479492188,65874500,0.15714625,143.1346893310547,1,0.009020966018646437,141.53827819824218,138.87597045898437
AAPL,2023-02-01,141.69774073810188,144.29607334830789,139.08957136310852,143.1346893310547,143.1346893310547,77663600,0.082691,148.4396209716797,1,0.007900876571488302,142.2410095214844,139.88184051513673
AAPL,2023-02-02,146.54991104174482,148.79392468833726,145.83143680858885,148.4396209716797,148.4396209716797,118339000,0.0493205,152.0615234375,1,0.037062515490953185,143.5913513183594,141.41230010986328
AAPL,2023-02-03,145.69363837431163,154.8960731461596,145.4967979818679,152.0615234375,152.0615234375,154357300,0.07158166666666667,149.3352508544922,0,0.024399836392140273,145.27830505371094,143.04905395507814
AAPL,2023-02-06,150.1620046015634,150.6836384438328,148.40024764766747,149.3352508544922,149.3352508544922,69858300,0.0675756,152.20916748046875,1,-0.01792874700567071,146.9967498779297,144.09429168701172
AAPL,2023-02-07,148.26246234257331,152.7800151967711,148.26246234257331,152.20916748046875,152.20916748046875,83322600,0.1631665,149.5222625732422,0,0.019244730293296985,149.03605041503906,145.28716430664062
